"Site","Latitude","Longitude"
1,44.36989,-75.7324
2,44.37391389,-75.72419318
3,44.65892862,-74.75931834
4,44.43602008,-75.07189704
5,44.37431569,-75.08328402
6,44.65969187,-74.80032908
7,44.38024394,-75.72828198
8,44.42141456,-75.50466882
9,44.44281992,-75.09306895
10,44.3576581,-75.08620304
